                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54401,                 0.3345,                0.87525,                0.84382,                0.73885,                0.80344,                0.48937,                 1.3679,                0.83072,                 1.6639,                 0.0712,                 0.0032,                 0.0032
                      2,                0.62155,                0.38484,                0.91151,                0.80139,                0.70228,                0.74809,                0.47154,                 1.3474,                0.86335,                 1.5969,               0.041479,              0.0064785,              0.0064785
                      3,                0.69271,                0.44559,                0.95483,                0.83496,                0.73513,                0.80307,                 0.4732,                 1.3639,                 0.8861,                  1.535,               0.011735,              0.0097353,              0.0097353
                      4,                0.73774,                 0.4736,                0.98374,                0.77854,                0.79572,                0.78353,                0.48426,                 1.3281,                0.80356,                  1.542,               0.009901,               0.009901,               0.009901
                      5,                 0.7258,                0.45172,                0.97043,                0.85807,                0.79136,                0.82549,                0.49506,                 1.3348,                0.80308,                 1.4851,               0.009868,               0.009868,               0.009868
                      6,                0.71693,                0.45291,                0.96535,                 0.8063,                 0.8227,                0.83688,                0.50093,                 1.3455,                0.82154,                 1.5436,               0.009835,               0.009835,               0.009835
                      7,                0.71487,                0.45085,                0.97773,                0.81378,                0.80691,                0.84458,                0.51653,                  1.314,                0.77265,                 1.5165,               0.009802,               0.009802,               0.009802
                      8,                0.71659,                0.45977,                0.97515,                 0.8089,                0.79515,                0.82528,                0.50145,                 1.3293,                0.80159,                 1.5025,               0.009769,               0.009769,               0.009769
                      9,                0.71157,                0.45032,                0.96035,                0.88846,                0.80105,                0.83952,                0.50164,                 1.3455,                0.83104,                 1.5571,               0.009736,               0.009736,               0.009736
                     10,                 0.7213,                0.44586,                0.97086,                 0.8182,                0.80579,                0.83189,                0.51006,                 1.3258,                0.78495,                 1.5208,               0.009703,               0.009703,               0.009703
                     11,                0.70363,                0.45452,                0.96058,                0.77826,                0.77453,                0.80004,                0.49707,                 1.3325,                0.76215,                 1.5098,                0.00967,                0.00967,                0.00967
                     12,                0.68902,                0.42944,                0.95159,                0.84831,                0.77501,                0.82039,                 0.5049,                  1.334,                0.82266,                 1.5446,               0.009637,               0.009637,               0.009637
                     13,                0.70631,                0.44563,                0.96547,                 0.8467,                0.81136,                0.84266,                0.51889,                 1.3143,                0.75801,                 1.5037,               0.009604,               0.009604,               0.009604
                     14,                0.68533,                0.43095,                0.95359,                0.83665,                0.81335,                0.83096,                0.52348,                 1.2962,                0.75857,                  1.471,               0.009571,               0.009571,               0.009571
                     15,                0.69982,                0.43897,                0.96004,                0.77271,                0.79413,                0.80592,                0.49823,                 1.3059,                0.77214,                 1.5277,               0.009538,               0.009538,               0.009538
                     16,                0.69478,                0.43387,                0.95998,                0.85579,                0.79104,                0.82671,                0.51354,                 1.3225,                0.75978,                 1.5913,               0.009505,               0.009505,               0.009505
                     17,                0.68364,                 0.4247,                0.96091,                0.82393,                0.81701,                0.82442,                0.51548,                 1.2969,                0.73801,                 1.5444,               0.009472,               0.009472,               0.009472
                     18,                0.70495,                0.44082,                0.97021,                0.78714,                0.80526,                0.81817,                0.50524,                 1.2983,                0.75245,                 1.5253,               0.009439,               0.009439,               0.009439
                     19,                0.73463,                0.44929,                 0.9875,                0.78176,                0.82537,                0.79514,                0.49219,                 1.3348,                0.73473,                 1.6164,               0.009406,               0.009406,               0.009406
                     20,                0.72739,                0.43896,                0.96895,                0.78261,                0.82071,                0.81899,                0.51246,                 1.3113,                0.73659,                  1.535,               0.009373,               0.009373,               0.009373
                     21,                0.73979,                0.44914,                0.98571,                0.81962,                0.79449,                0.82339,                0.50048,                 1.3369,                0.75843,                 1.5496,                0.00934,                0.00934,                0.00934
                     22,                0.72066,                0.43372,                0.97177,                0.85129,                0.81817,                0.85378,                 0.5107,                 1.3369,                0.77258,                 1.5405,               0.009307,               0.009307,               0.009307
                     23,                0.70885,                0.43901,                0.96943,                0.86715,                0.80376,                0.83182,                0.51118,                 1.3142,                0.75889,                 1.4813,               0.009274,               0.009274,               0.009274
                     24,                0.71096,                0.43656,                0.97719,                0.89121,                0.77791,                0.85234,                0.51325,                 1.3211,                0.73793,                 1.5339,               0.009241,               0.009241,               0.009241
                     25,                0.68277,                0.42044,                0.95143,                0.84869,                0.80866,                0.83415,                 0.5095,                 1.3304,                0.72948,                 1.5151,               0.009208,               0.009208,               0.009208
                     26,                0.69326,                 0.4272,                0.96278,                0.85155,                 0.7871,                 0.8237,                0.51963,                 1.3118,                0.73323,                 1.4736,               0.009175,               0.009175,               0.009175
                     27,                0.68585,                0.42873,                 0.9548,                0.84739,                0.79035,                0.82494,                0.52338,                 1.3017,                0.74624,                 1.4614,               0.009142,               0.009142,               0.009142
                     28,                0.66216,                0.41778,                0.94109,                0.80492,                0.81262,                0.82785,                0.51659,                 1.3351,                0.76068,                 1.5291,               0.009109,               0.009109,               0.009109
                     29,                0.67942,                0.41944,                0.95906,                0.83135,                 0.8381,                0.85691,                0.53143,                 1.3222,                0.75751,                 1.5148,               0.009076,               0.009076,               0.009076
                     30,                0.67903,                 0.4261,                 0.9531,                0.84397,                0.82853,                0.84864,                0.53279,                  1.316,                0.74092,                 1.4729,               0.009043,               0.009043,               0.009043
                     31,                0.67146,                0.42228,                0.95043,                0.86369,                0.80369,                0.83735,                0.50407,                 1.3496,                0.76265,                 1.5156,                0.00901,                0.00901,                0.00901
                     32,                0.68615,                0.42325,                0.94599,                0.86231,                0.80979,                0.84477,                0.52071,                  1.305,                0.74616,                  1.495,               0.008977,               0.008977,               0.008977
                     33,                0.67212,                0.42257,                0.94788,                0.83351,                0.80272,                0.83614,                0.51303,                  1.306,                0.76098,                 1.4986,               0.008944,               0.008944,               0.008944
                     34,                0.65835,                0.40537,                0.93675,                0.87867,                0.79903,                0.85545,                0.53196,                 1.2881,                0.76659,                 1.4861,               0.008911,               0.008911,               0.008911
                     35,                0.65522,                0.40289,                0.94359,                0.89477,                0.84246,                0.86301,                 0.5337,                 1.2993,                 0.7615,                 1.5202,               0.008878,               0.008878,               0.008878
                     36,                0.66508,                 0.4152,                0.94691,                0.87563,                0.86447,                0.87727,                0.54528,                 1.3084,                0.74664,                 1.4966,               0.008845,               0.008845,               0.008845
                     37,                0.67811,                0.42266,                0.94829,                0.87615,                0.83456,                0.88458,                0.53999,                 1.3158,                0.72716,                 1.5246,               0.008812,               0.008812,               0.008812
